prompt,old,new
Carlos Schwabe,Carlos Schwabe,art
Kurt Schwitters,Kurt Schwitters,art
Susan Seddon Boulet,Susan Seddon Boulet,art
Guillaume Seignac,Guillaume Seignac,art
Anton Semenov,Anton Semenov,art
Georges Seurat,Georges Seurat,art
Marie Severin,Marie Severin,art
Alberto Seveso,Alberto Seveso,art
Brooke Shaden,Brooke Shaden,art
Barclay Shaw,Barclay Shaw,art
E. H. Shepard,E. H. Shepard,art
Cynthia Sheppard,Cynthia Sheppard,art
Tyler Shields,Tyler Shields,art
Yuko Shimizu,Yuko Shimizu,art
Makoto Shinkai,Makoto Shinkai,art
Yoji Shinkawa,Yoji Shinkawa,art
Everett Shinn,Everett Shinn,art
Masamune Shirow,Masamune Shirow,art
Emmanuel Shiu,Emmanuel Shiu,art
Bill Sienkiewicz,Bill Sienkiewicz,art
Paul Signac,Paul Signac,art
Marc Silvestri,Marc Silvestri,art
Greg Simkins,Greg Simkins,art
Marc Simonetti,Marc Simonetti,art
David Alfaro Siqueiros,David Alfaro Siqueiros,art
Kevin Sloan,Kevin Sloan,art
Grace Cossington Smith,Grace Cossington Smith,art
Austin Osman Spare,Austin Osman Spare,art
Sparth,Sparth,art
Chuck Sperry,Chuck Sperry,art
Sam Spratt,Sam Spratt,art
Ralph Steadman,Ralph Steadman,art
Brian Stelfreeze,Brian Stelfreeze,art
Alfred Stieglitz,Alfred Stieglitz,art
James Stokoe,James Stokoe,art
Arthur Streeton,Arthur Streeton,art
Drew Struzan,Drew Struzan,art
Tomasz Strzalkowski,Tomasz Strzalkowski,art
Simon Stalenhag,Simon Stalenhag,art
Ken Sugimori,Ken Sugimori,art
Arthur Suydam,Arthur Suydam,art
Raymond Swanland,Raymond Swanland,art
Peter de Seve,Peter de Seve,art
Hiroyuki-Mitsume Takahashi,Hiroyuki-Mitsume Takahashi,art
Kazuya Takahashi,Kazuya Takahashi,art
Rumiko Takahashi,Rumiko Takahashi,art
Rufino Tamayo,Rufino Tamayo,art
Shaun Tan,Shaun Tan,art
Henry Ossawa Tanner,Henry Ossawa Tanner,art
Genndy Tartakovsky,Genndy Tartakovsky,art
Ben Templesmith,Ben Templesmith,art
Sachin Teng,Sachin Teng,art
Gustaf Tenggren,Gustaf Tenggren,art
Saul Tepper,Saul Tepper,art
Katsuya Terada,Katsuya Terada,art
Howard Terpning,Howard Terpning,art
Osamu Tezuka,Osamu Tezuka,art
Abbott Handerson Thayer,Abbott Handerson Thayer,art
Karel Thole,Karel Thole,art
Mickalene Thomas,Mickalene Thomas,art
Craig Thompson,Craig Thompson,art
Tom Thomson,Tom Thomson,art
Giovanni Tiepolo,Giovanni Tiepolo,art
"Alex Timmermans, wet plate","Alex Timmermans, wet plate",art
Titian,Titian,art
Adrian Tomine,Adrian Tomine,art
Ori Toor,Ori Toor,art
Akira Toriyama,Akira Toriyama,art
Alex Toth,Alex Toth,art
Henri de Toulouse-Lautrec,Henri de Toulouse-Lautrec,art
Ross Tran,Ross Tran,art
William Turner,William Turner,art
Chris Turnham,Chris Turnham,art
David Tutwiler,David Tutwiler,art
Tadahiro Uesugi,Tadahiro Uesugi,art
Euan Uglow,Euan Uglow,art
Daniela Uhlig,Daniela Uhlig,art
Halil Ural,Halil Ural,art
Jan Urschel,Jan Urschel,art
Boris Vallejo,Boris Vallejo,art
Vincent van Gogh,Vincent van Gogh,art
Alberto Vargas,Alberto Vargas,art
Brian K. Vaughan,Brian K. Vaughan,art
Diego Velázquez,Diego Velázquez,art
Vasily Vereshchagin,Vasily Vereshchagin,art
Andrea del Verrocchio,Andrea del Verrocchio,art
Andreas Vesalius,Andreas Vesalius,art
Charles Vess,Charles Vess,art
Élisabeth Vigée-Lebrun,Élisabeth Vigée-Lebrun,art
Louis Wain,Louis Wain,art
Camille Walala,Camille Walala,art
Alfons Walde,Alfons Walde,art
Alfred Wallis,Alfred Wallis,art
Lynd Ward,Lynd Ward,art
Andy Warhol,Andy Warhol,art
John William Waterhouse,John William Waterhouse,art
Jean-Antoine Watteau,Jean-Antoine Watteau,art
Joe Webb,Joe Webb,art
Edwin Lord Weeks,Edwin Lord Weeks,art
Johan Hendrik Weissenbruch,Johan Hendrik Weissenbruch,art
Casey Weldon,Casey Weldon,art
Tom Whalen,Tom Whalen,art
Michael Whelan,Michael Whelan,art
Jon Whitcomb,Jon Whitcomb,art
Coby Whitmore,Coby Whitmore,art
Peter Wileman,Peter Wileman,art
Kehinde Wiley,Kehinde Wiley,art
Edward Blair Wilkins,Edward Blair Wilkins,art
Al Williamson,Al Williamson,art
Barry Windsor-Smith,Barry Windsor-Smith,art
Franz Xaver Winterhalter,Franz Xaver Winterhalter,art
Nathan Wirth,Nathan Wirth,art
Wlop,Wlop,art
Brandon Woelfel,Brandon Woelfel,art
Liam Wong,Liam Wong,art
Ashley Wood,Ashley Wood,art
Grant Wood,Grant Wood,art
Zao Wou-Ki,Zao Wou-Ki,art
"Bernie Wrightson, bw, high contrast","Bernie Wrightson, bw, high contrast",art
Andrew Wyeth,Andrew Wyeth,art
Zhelong Xu,Zhelong Xu,art
Hannah Yata,Hannah Yata,art
Liu Ye,Liu Ye,art
Bunny Yeager,Bunny Yeager,art
Jacek Yerka,Jacek Yerka,art
Tadanori Yokoo,Tadanori Yokoo,art
Sean Yoro,Sean Yoro,art
Akihiko Yoshida,Akihiko Yoshida,art
Hiroshi Yoshida,Hiroshi Yoshida,art
Skottie Young,Skottie Young,art
Darek Zabrocki,Darek Zabrocki,art
Ossip Zadkine,Ossip Zadkine,art
Eytan Zana,Eytan Zana,art
Eric Zener,Eric Zener,art
Fenghua Zhong,Fenghua Zhong,art
William Zorach,William Zorach,art
Anders Zorn,Anders Zorn,art
Ignacio Zuloaga,Ignacio Zuloaga,art
Carl Spitzweg,Carl Spitzweg,art
Raymond Briggs,Raymond Briggs,art
Daniel Ridgway Knight,Daniel Ridgway Knight,art
Malcolm Liepke,Malcolm Liepke,art
Hubert Robert,Hubert Robert,art
Storm Thorgerson,Storm Thorgerson,art
Dean Cornwell,Dean Cornwell,art
Amir Zand,Amir Zand,art
Hein Gorny,Hein Gorny,art
Gabriele Münter,Gabriele Münter,art
Jan van Kessel the Elder,Jan van Kessel the Elder,art
Brett Whiteley,Brett Whiteley,art
Robert Irwin,Robert Irwin,art
Ralph Horsley,Ralph Horsley,art
Vito Acconci,Vito Acconci,art
Natalia Goncharova,Natalia Goncharova,art
Lady Pink,Lady Pink,art
José Clemente Orozco,José Clemente Orozco,art
Chip Zdarsky,Chip Zdarsky,art
Horace Vernet,Horace Vernet,art
Roger Dean,Roger Dean,art
Arthur Radebaugh,Arthur Radebaugh,art
Ethan Van Sciver,Ethan Van Sciver,art
Giuseppe de Nittis,Giuseppe de Nittis,art
Artus Scheiner,Artus Scheiner,art
Barry Windsor Smith,Barry Windsor Smith,art
Mark Lovett,Mark Lovett,art
Bart Sears,Bart Sears,art
Gerhard Richter,Gerhard Richter,art
Hendrik Kerstens,Hendrik Kerstens,art
Asger Jorn,Asger Jorn,art
Anne Rothenstein,Anne Rothenstein,art
Peter Doig,Peter Doig,art
Ryan Hewett,Ryan Hewett,art
Giorgio De Chirico,Giorgio De Chirico,art
Terry Oakes,Terry Oakes,art
Frederick Lord Leighton,Frederick Lord Leighton,art
Robert S. Duncanson,Robert S. Duncanson,art
Frederic Church,Frederic Church,art
Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,art
Hiroshi Sugimoto,Hiroshi Sugimoto,art
Eero Saarinen,Eero Saarinen,art
Ai Weiwei,Ai Weiwei,art
Barbara Stauffacher Solomon,Barbara Stauffacher Solomon,art
John Whitcomb,John Whitcomb,art
Robert Farkas,Robert Farkas,art
Ogawa Kazumasa,Ogawa Kazumasa,art
Charles E. Burchfield,Charles E. Burchfield,art
Walter Langley,Walter Langley,art
Carl Barks,Carl Barks,art
Steve McCurry,Steve McCurry,art
Cedric Peyravernay,Cedric Peyravernay,art
Charline von Heyl,Charline von Heyl,art
Etienne Hebinger,Etienne Hebinger,art
Margaux Valonia,Margaux Valonia,art
Cindy Sherman,Cindy Sherman,art
Eliott Lilly,Eliott Lilly,art
Albert Gleizes,Albert Gleizes,art
Giovanni Battista Piranesi,Giovanni Battista Piranesi,art
Eleanor Vere Boyle,Eleanor Vere Boyle,art
Chaïm Soutine,Chaïm Soutine,art
Beauford Delaney,Beauford Delaney,art
Amadou Opa Bathily,Amadou Opa Bathily,art
Johannes Voss,Johannes Voss,art
Samuel Melton Fisher,Samuel Melton Fisher,art
Francis Coates Jones,Francis Coates Jones,art
David Lynch,David Lynch,art
Elizabeth Shippen Green,Elizabeth Shippen Green,art
Bhupen Khakhar,Bhupen Khakhar,art
Abraham Mintchine,Abraham Mintchine,art
Shinji Aramaki,Shinji Aramaki,art
Michal Karcz,Michal Karcz,art
Frida Kahlo,Frida Kahlo,art
Henri De Toulouse Lautrec,Henri De Toulouse Lautrec,art
Julien Delval,Julien Delval,art
Rembrandt Van Rijn,Rembrandt Van Rijn,art
Albert Dubois-Pillet,Albert Dubois-Pillet,art
J.M.W. Turner,J.M.W. Turner,art
Lyubov Popova,Lyubov Popova,art
Piotr Jabłoński,Piotr Jabłoński,art
Anton Domenico Gabbiani,Anton Domenico Gabbiani,art
Albert Edelfelt,Albert Edelfelt,art
Frank Xavier Leyendecker,Frank Xavier Leyendecker,art
Art Spiegelman,Art Spiegelman,art
Hans Arnold,Hans Arnold,art
Fabian Perez,Fabian Perez,art
Zack Snyder,Zack Snyder,art
Larry Sultan,Larry Sultan,art
Joel Meyerowitz,Joel Meyerowitz,art
Anne-Louis Girodet,Anne-Louis Girodet,art
Cassius Marcellus Coolidge,Cassius Marcellus Coolidge,art
David Burdeny,David Burdeny,art
Gustave Courbet,Gustave Courbet,art
Heinrich Kley,Heinrich Kley,art
Brian Oldham,Brian Oldham,art
Anne Sudworth,Anne Sudworth,art
Emil Alzamora,Emil Alzamora,art
Sebastian Errazuriz,Sebastian Errazuriz,art
Charles Angrand,Charles Angrand,art
Barbara Hepworth,Barbara Hepworth,art
Mort Kunstler,Mort Kunstler,art
Man Ray,Man Ray,art
Rafał Olbiński,Rafał Olbiński,art
Georges Rouault,Georges Rouault,art
Jerzy Duda-Gracz,Jerzy Duda-Gracz,art
Qing Han,Qing Han,art
Paul Strand,Paul Strand,art
Luca Boni,Luca Boni,art
Anto Carte,Anto Carte,art
Yohann Schepacz,Yohann Schepacz,art
George Inness,George Inness,art
Giovanni Battista Gaulli,Giovanni Battista Gaulli,art
Anton Otto Fischer,Anton Otto Fischer,art
Otto Dix,Otto Dix,art
John Stezaker,John Stezaker,art
Grayson Perry,Grayson Perry,art
Aristide Maillol,Aristide Maillol,art
Phil Noto,Phil Noto,art
Mary Blair,Mary Blair,art
Matthias Jung,Matthias Jung,art
Alex Timmermans,Alex Timmermans,art
Remedios Varo,Remedios Varo,art
James Paick,James Paick,art
Gustave Buchet,Gustave Buchet,art
Andrew Whem,Andrew Whem,art
Naoko Takeuchi,Naoko Takeuchi,art
Anthony Thieme,Anthony Thieme,art
Ida Rentoul Outhwaite,Ida Rentoul Outhwaite,art
Giovanni Battista Bracelli,Giovanni Battista Bracelli,art
Janek Sedlar,Janek Sedlar,art
Mary Cassatt,Mary Cassatt,art
Eiichiro Oda,Eiichiro Oda,art
Robert Vonnoh,Robert Vonnoh,art
Yoshiyuki Tomino,Yoshiyuki Tomino,art
NC Wyeth,NC Wyeth,art
Charles-Francois Daubigny,Charles-Francois Daubigny,art
Thomas Allom,Thomas Allom,art
Marina Abramović,Marina Abramović,art
Alexej von Jawlensky,Alexej von Jawlensky,art
J.C. Leyendecker,J.C. Leyendecker,art
George Herriman,George Herriman,art
John Cassaday,John Cassaday,art
Igor Zenin,Igor Zenin,art
Chris Van Allsburg,Chris Van Allsburg,art
Pieter Bruegel The Elder,Pieter Bruegel The Elder,art
Alice Pasquini,Alice Pasquini,art
Etel Adnan,Etel Adnan,art
Christian Dimitrov,Christian Dimitrov,art
David Driskell,David Driskell,art
Alberto Magnelli,Alberto Magnelli,art
Jaya Suberg,Jaya Suberg,art
David Palumbo,David Palumbo,art
David Choe,David Choe,art
Philip Guston,Philip Guston,art
Brian M. Viveros,Brian M. Viveros,art
Matthias Grünewald,Matthias Grünewald,art
Ryan Stegman,Ryan Stegman,art
Raina Telgemeier,Raina Telgemeier,art
Toei Animations,Toei Animations,art
Nicolas de Stael,Nicolas de Stael,art
Norman Bluhm,Norman Bluhm,art
Alfred Sisley,Alfred Sisley,art
Alastair Magnaldo,Alastair Magnaldo,art
Jerry Siegel,Jerry Siegel,art
Simone Martini,Simone Martini,art
